Date,index,LQ,HF,JHL,GZ
2025年11月7日 ,0,111.40,156.75,114.38,103.33
2025年11月14日,1,112.35,157.02,115.52,103.82
2025年11月21日,2,108.49,150.07,107.94,103.18
2025年11月28日,3,110.45,155.43,112.60,103.54
2025年12月5日 ,4,111.11,154.99,113.25,103.54
2025年12月12日,5,109.33,154.32,112.66,103.66
2025年12月19日,6,109.80,154.16,113.63,103.85
2025年12月26日,7,114.18,160.25,117.53,104.39
2025年12月31日,8,113.63,159.28,117.27,104.05
2026年1月9日  ,9,120.44,167.03,123.63,104.31
2026年1月16日,10,120.25,167.33,126.63,105.12
2026年1月23日,11,125.47,171.17,131.47,106.27
2026年1月30日,12,122.67,168.66,127.70,106.44
2026年2月6日 ,13,122.02,169.16,126.12,106.05
2026年2月13日,14,123.14,171.49,129.34,106.51
2026年2月27日,15,127.62,171.82,134.64,107.09
2026年3月6日 ,16,247.19,167.76,131.57,107.04
2026年3月13日,17,243.14,166.92,130.74,106.98
2026年3月20日,18,238.73,160.02,123.95,105.80
2026年3月27日,19,241.30,160.30,123.93,105.86
2026年4月03日,20,238.73,157.70,120.34,106.03
2026年4月10日,21,244.06,168.20,128.51,106.46
2026年4月17日,22,249.59,175.85,133.57,106.83
2026年4月24日,23,250.32,177.80,135.08,106.71
2026年4月30日,24,251.98,179.90,137.10,106.72
2026年5月8日 ,25,261.01,188.93,143.78,107.07
2026年5月15日,26,259.89,187.90,144.63,106.66
2026年5月22日,27,262.10,188.12,148.65,106.62
2026年5月29日,28,255.66,181.42,143.45,106.25
2026年6月 5日,29,253.45,182.07,142.83,106.13
2026年6月12日,30,244.98,179.31,140.18,105.65
2026年6月19日,31,261.18,192.17,149.19,106.04
2026年6月26日,32,257.87,187.98,144.64,105.57
2026年7月 3日,33,258.61,193.28,146.95,105.93
